,,,Systematics,,Phylogenetic methods,,Biogeography,,Ecology,,Biodiversity informatics,,Taxonomy,,Genomics / metagenomics,,Other,,All,,,,Systematics,,Phylogenetic methods,,Biogeography,,Ecology,,Biodiversity informatics,,Taxonomy,,Genomics / metagenomics,,Other,,All,
Utility: Y - AQ,Tree tips text labels,,1.263157895,19,1.263157895,19,1.178571429,19,1.642857143,19,1.142857143,19,1.470588235,19,1.243243243,19,1.111111111,19,1.237623762,19,,Difficulty: AT-,1.210526316,19,1.162162162,19,1.285714286,19,1.307692308,19,1.388888889,19,1.294117647,19,1.25,19,1.352941176,19,1.257731959,19
,Inference Method,,1.333333333,18,1.41025641,18,1.24137931,18,1.428571429,18,1.333333333,18,1.294117647,18,1.216216216,18,1.277777778,18,1.362745098,18,,,1.105263158,18,1.162162162,18,1.071428571,18,1.076923077,18,1.055555556,18,1,18,1.166666667,18,1.117647059,18,1.134020619,18
,Type of tree estimate,,1.256410256,17,1.435897436,17,1.24137931,17,1.428571429,17,1.5,17,1.235294118,17,1.324324324,17,1.388888889,17,1.386138614,17,,,1.078947368,17,1.189189189,17,1,17,1.076923077,17,1.111111111,17,1,17,1.194444444,17,1.058823529,17,1.134020619,17
,Support values,,1.487179487,16,1.461538462,16,1.275862069,16,1.285714286,16,1.714285714,16,1.294117647,16,1.324324324,16,1.111111111,16,1.411764706,16,,,1.157894737,16,1.324324324,16,1.071428571,16,1.153846154,16,1.555555556,16,1.117647059,16,1.333333333,16,1.117647059,16,1.257731959,16
,Branch lengths,,1.435897436,15,1.461538462,15,1.379310345,15,1.357142857,15,1.333333333,15,1.411764706,15,1.378378378,15,1.666666667,15,1.470588235,15,,,1.210526316,15,1.351351351,15,1.142857143,15,1.076923077,15,1.166666667,15,1.235294118,15,1.305555556,15,1.058823529,15,1.226804124,15
,Type of support values,,1.512820513,14,1.487179487,14,1.310344828,14,1.428571429,14,1.761904762,14,1.470588235,14,1.378378378,14,1.277777778,14,1.490196078,14,,,1.184210526,14,1.243243243,14,1.071428571,14,1.153846154,14,1.333333333,14,1,14,1.333333333,14,1,14,1.206185567,14
,Units for branch lengths,,1.447368421,13,1.435897436,13,1.344827586,13,1.357142857,13,1.5,13,1.647058824,13,1.540540541,13,1.444444444,13,1.514851485,13,,,1.315789474,13,1.378378378,13,1.178571429,13,1.230769231,13,1.277777778,13,1.470588235,13,1.416666667,13,1.294117647,13,1.329896907,13
,Input inference parameters,,1.897435897,12,1.58974359,12,1.724137931,12,1.857142857,12,1.80952381,12,1.529411765,12,1.432432432,12,1.777777778,12,1.725490196,12,,,1.342105263,12,1.189189189,12,1.285714286,12,1.230769231,12,1.277777778,12,1.294117647,12,1.25,12,1.235294118,12,1.309278351,12
,Details of inference software,,1.948717949,11,1.743589744,11,1.793103448,11,1.5,11,1.904761905,11,1.470588235,11,1.594594595,11,1.777777778,11,1.803921569,11,,,1.263157895,11,1.243243243,11,1.178571429,11,1.153846154,11,1.055555556,11,1.117647059,11,1.25,11,1.117647059,11,1.226804124,11
,Alignment manually adjusted?,,1.948717949,10,1.717948718,10,1.965517241,10,1.857142857,10,1.80952381,10,1.647058824,10,1.540540541,10,2.055555556,10,1.843137255,10,,,1.342105263,10,1.405405405,10,1.074074074,10,1.153846154,10,1.111111111,10,1.117647059,10,1.361111111,10,1.25,10,1.302083333,10
